AAS	教廷公報；宗座公報。全名是 Acta Apostolicae Sedis 。 
obedience	服從；聽命指放棄自己的主張，屈服于上司的旨意，可分為 (1) 一般的服從，譬如聽從父母的話。 (2) 修會中三願之一。參閱 vows, religious 。 
Oberammergau	奧伯郎麥高為德國巴伐利亞之一村莊，自十七世紀起，每十年在該村盛大扮演基督受難劇一次，聞名世界。又稱 Passion Play 。 
Oblate of Mary Immaculate	無玷聖母獻主會為法國馬賽主教馬則諾(Charles Joseph de Mazenod)在 1816 年所創立，以對貧苦人傳教為宗旨。該會東方傳教地區有錫蘭、菲律賓、寮國、日本、香港等地。簡稱 O.M.I. 。 
oblate	 (1) 獻身會士為了精神的嚮往而加入某一修會，如加入撒勒爵獻身會(O.S.F.S.)。 (2) 獻身者；獻身人士即住于修會中，遵守修會規則，而非正式入會的信友。 (3) 獻身兒童指父母將幼童獻于本篤會度會士生活者。 (4) 奉獻物特指彌撒中餅酒等奉獻。 
oblation	奉獻；獻祭；捐獻 (1) 奉獻行為。 (2) 奉獻物。 
obligation, holiday of	教會法定節日；停工瞻禮按教會規定，法定節日（在中國指主日及耶誕節），教友應參加彌撒並停止勞力工作，舊稱「罷工」瞻禮（參閱法典 1246-1247)。 
observe abstinence	守小齋；（吃）小齋按教會規定，小齋日禁食熱血動物的肉，但魚、蛋及乳類食物不在此限（法典 1251)。 
observe fast	守大齋；節食；（吃）大齋按教會規定，大齋日只能飽食一餐，其他兩餐可進少量食物（法典 1252)。 
observe the holy days	守瞻禮日；過宗教節日指按照教會的規定，善度宗教節日；譬如當天應該參加彌撒、禁止勞役（法典 1246-1247)。 
obsession, diabolical	附魔；著魔。 
occasion of sin	犯罪的機會。詳見 sin, occasion of 。 
occult compensation	暗銷；暗中抵銷債權人在不通知債務人情況下，暗中取回其所欠財物之行為。宜謹慎行事，避免他人受到傷害。 
occurrence	慶節相逢；相會；相沖通常指可移動之慶節與固定慶節重疊在同一日。 
O.C.D.	聖衣會；加美樂會；加爾默羅會為 Ordo Carmelitorum Discalceatorum (Discalced Carmelite Order)之縮寫。 
octave	八日慶期；八天慶日往昔在聖誕、復活、聖神降臨三節日之後，一連慶賀八日；現今復活節和耶誕節仍保留八日慶期。 
of Faith	信德道理；信仰道理；信條教會規定教友應信奉的信理。拉丁文稱作 de Fide 。 
offering	 (1) 奉獻禮彌撒禮儀的一部份。 (2) 奉獻物；祭品彌撒禮儀中奉獻的餅與酒。 (3) 獻儀為宗教目的所作之捐獻。 
Offertory	 (1) 奉獻經彌撒經文的一部份。 (2) 奉獻儀式彌撒禮儀的一部份。 (3) 奉獻詠彌撒禮儀奉獻時所唱（念）的樂曲。 (4) 獻金；捐款。 
Office, Divine	日課。詳見 Breviary 。 
office, ecclesiastical	教會職務指為達成神性目的，由天主或教會以固定方式所設立的職務（法典 145)。 
Office of Blessed Virgin Mary, Little	聖母小日課採取日課形式，但較日課簡化的特敬聖母之祈禱文，昔日不少會士及教友誦念之，今多改念（已簡化之）日課。 
office of readings	誦讀日課；時辰禮儀日課的一部分；詳見 Breviary 。 
office of sanctifying	聖化的職務教會以特殊方式，經由禮儀執行聖化的職務（法典 834)。 
office of the dead	亡者日課為死者所念的日課。 
O.F.M.	方濟會；方濟小兄弟會全名是 Order of Friars Minor ，拉丁文稱作 Ordo Fratrum Minorum 。 
O.F.M. Cap.	方濟嘉布遣會；嘉布遣兄弟會全文為 Order of Friars Minor Capuchin ，拉丁文稱作 Ordo Fratrum Minorum Capuchinorum 。 
O.F.M. Conv.	方濟住院兄弟會全文為 Order of Friars Minor Conventual ，拉丁文稱作 Ordo Fratrum Minorum Sancti Francisci Conventualium 。 
oil	聖油古人相信，傅（敷抹）油能增加力量及心神健康；教會自古以來，即祝聖橄欖油，在舉行聖洗、堅振、聖秩（神品）及病人傅油聖事中使用。聖油分聖洗（候洗）、聖化（堅振及聖秩）及病人聖油三種。今已不限定用橄欖油，任何植物油皆可經祝聖後使用。 
oil of catechumen	聖洗聖油；候洗聖油用於洗禮時。 
oil of chrism	堅振聖油；聖化聖油用於堅振禮時。 
oil of the sick	病人聖油用於病人傅油禮時。 
oil stock	聖油盒存放聖油的盒子，將聖洗、堅振、病人三種聖油連成一組。 
ointment	傅油；敷油；膏油將聖油擦在人的額頭上、手上等儀式。 
Old Catholics	老天主教派；舊天主教派指德國及瑞士的一些神學家，因反對「教宗不能錯誤」的教義，于 1870 年自行組成的教派。 
Old Covenant	舊（盟）約。同 Old Testament 。 
Old Testament	舊約；古經指在基督之前，天主與世人所訂立的盟約，大部分由以色列人所保存，簡稱 O.T. ，共 46 六卷，包括史書、教義、先知等書。計為創世紀、出谷紀、肋未紀、戶籍紀、申命紀、若蘇厄書、民長紀、盧德傳、撒慕爾紀上、撒慕爾紀下、列王紀上、列王紀下、編年紀上、編年紀下、厄斯德拉上、厄斯德拉下、多俾亞傳、友弟德傳、艾斯德爾傳、瑪加伯上、瑪加伯下、約伯傳、聖詠集、箴言、訓道篇、雅歌、智慧篇、德訓篇、依撒意亞、耶肋米亞、哀歌、巴路克、厄則克耳、達尼爾、歐瑟亞、嶽厄爾、亞毛斯、亞北底亞、約納、米該亞、納鴻、哈巴谷、索福尼亞、哈蓋、匝加利亞、瑪拉基亞。若把耶肋米亞及哀歌視作一書則為 45 卷。（依據思高聖經學會譯釋本）。 
olive branch	橄欖枝象徵和平。 
Olives, Mount of	橄欖山乃耶路撒冷城東北的小山，耶穌由此山升天（宗一 12)。 
ombrellino (It.)	聖體傘聖體遊行時用。 
Omega (Gr.)	終極；最後；最末；歐米加；歐梅格希臘文最後一個字母「 Ω 」。 
O.M.I.	無玷聖母獻主會 Oblate Fathers of Mary Immaculate 的縮寫字。 
omnipotence of God	天主的全能無所不能。 
omnipresence of God	天主的無所不在指天主處處都在，亦即舉頭三尺有神明。 
omniscience of God	天主的全知天主無所不知，祂知道過去、現在和將來所發生的一切事情，包括我們最隱密的思想。 
Oneness of the Church	教會至一；至一教會詳見 Unam Sanctam 。 
O.P.	道明會；道明修女會拉丁全文為 Ordo Praedicatorum ，英文稱作 Order of Preachers 。 
opera (L.)	工作；勞動；行為。 
Optatam Totius (L.)	《司鐸之培養》法令梵二大公會議文獻之一(28.10.1965)。簡稱 OT 。 
Opus Dei (L.)	主業會善會之一，其宗旨是讓神父或教友在自己工作崗位上成己成人、傳播福音。為巴拉蓋蒙席(Msgr, Josemaria Escriva de Balaguer)在 1928 年創立於西班牙， 1950 年獲得批准，分佈於全球很多國家。 Opus Dei 原意為天主的工程、作為、事業。 
ora pro nobis (L.)	為我們祈求；為我等祈祈禱的回應。英文稱作 pray for us 。 
oral tradition	口傳乃教會現有的許多聖經以外之信理和教誨，在聖神庇佑下，代代相傳，一直流傳下去。 
oratio (L.)	 (1) 祈禱文；經文。 (2) 證道；講道。英文稱作 prayer 。 
oratio imperata (L.)	特令祈禱文昔日由教宗或主教指定在彌撒中所加念之經文。 
Oratorian	司鐸祈禱會會士由聖斐理．乃立(St. Philip Neri, 1515-1595)於 1564 年所創立；又名 Presbyteri Oratorri 。著名的牛曼樞機即為該會會士。 
oratorio (L.)	聖樂；聖樂演奏十六世紀由聖斐理．乃立(St. Philip Neri, 1515-1595)所提倡，取材聖經，在小教堂內演唱的聖樂。 
oratory	聖堂；小教堂拉丁文稱作 oratorium ，是經教會教長之准許，開放為敬禮天主的地方，以便利某一團體的信徒使用（法典 1223)；與公開之大教堂 church 相對照。參閱 church 。 
oratory, private or domestic	私用小聖堂按教會法，僅為私人或一家庭所設立之小教堂。譬如天主教國家之元首即可擁有此種小聖堂。詳見 church 。 
oratory, public	公開小教堂修會或某社團公用之教堂，一般教友亦可入內參禮。 
oratory, semipublic	半公開小教堂修會或某社團之專用教堂。 
order	 (1) 聖秩；品位；修會；秩序；命令；訓令。 (2) 勳章羅馬教廷所頒。 
order, confer the Holy	授聖秩（職）；授聖品。 
order, receive the Holy	領受聖秩（職）；領受神（聖）品。 
order, religious	修會由教會批准，矢發三（顯式）聖願、度共同奉獻生活之教會團體。 Order 狹義僅指古代修會如本篤會 O.S.B. 、思定會 O.S.A. 、方濟會 O.F.M. 、道明會 O.P. 等。廣義則指一切修會。 
order, third	第三會有些在俗善會（教友）成員，分享某修會之精神，並在該會高級上司指導下，度使徒生活，此種社團稱為第三會，或其他名稱（法典 303)。 
Order of Christ, Supreme	基督最高爵士章教宗若望廿二所創之勳章。詳見 knight, papal 。 
order of Christian funerals	基督宗教殯葬禮。 
Order of Friars Minor	聖方濟小兄弟會；聖方濟會為聖方濟於 1209 年所創，詳見 Francis of Assisi, St. 。 
Order of Pius	碧岳爵士章教宗碧嶽九世所創之勳章。詳見 knight, papal 。 
Order of Preachers	道明會；多明我會 1215 年聖道明 Domingo de Guzman (1170-1221)創立於法國之普盧葉(Prouille)，為乞食修會之一，注重講道，故稱宣道會，簡稱 O.P. 。又稱道明會 Dominicans ，為紀念其創會人聖道明。 
Order of St. Gregory the Great	大國瑞爵士章教宗國瑞十六世所創之勳章。詳見 knight, papal 。 
Order of St. Sylvester	思維爵士章教宗國瑞十六世所創之勳章。詳見 Knight, papal 。 
Order of the Augustinian Recollects	重整思定會十六世紀，宗教改革期間，部分思定（奧斯定）會院重整會務，仍屬思定會總會。 1962 年來高雄大寮鄉工作。 
Order of the Golden Spur	馬刺爵士章教宗碧嶽十世所創之勳章。詳見 knight, papal 。 
Orders, Sacrament of	聖秩聖事七件聖事之一，是在基督徒中，某些男性透過聖秩聖事的神印，被立為聖職人員，就是被祝聖，並被委任，按照不同的等級，負起教導、聖化、治理的職務，並牧養天主的子民。聖秩等級分為主教、司鐸（神父）、執事（六品）（參閱法典 1008-1054)。又稱 holy order 。 
ordinariate	 (1) 主教辦公處；主教公署；教區秘書處與 chancery office 同義。 (2) 教長區非（無）地區性之教友及聖職人員所組成的教會行政單位。如美國軍中教長區 Military Ordinariate ，即管理所有散佈國內外之軍中司鐸及教友軍人。 
ordinary	教區首長（主教）有權治理教區 diocese 、代牧區 vicariate 、監牧區 prefecture 的首長，通常都稱（是）主教。詳見 local ordinary 。 
Ordinary of the Mass	彌撒常用經文與彌撒專用經文相對照。詳見 Proper of the Mass 。 
ordination	授品典禮；授秩禮教會授與聖秩（品）聖事之儀式；領受者應有天主之感召並經教會上級之認可。可參看聖秩（神品、聖品）聖事 holy orders 。分主教 of bishop 、司鐸 of priest 、執事 of deacon 三等級。 
ordination of bishop	晉升主教；晉牧。 
ordination of deacon	晉升執事。 
ordination of presbyter (priest)	晉升司鐸；晉鐸。 
ordo (L.)	 (1) 日曆；天主教所使用的日曆列舉全年主日、慶節、平日彌撒以及日課誦念規程之日曆。 (2) 聖秩；聖職；品級；神（聖）品；秩序。 
Ordo Missae (L.)	彌撒規程彌撒經書的一部分，涵蓋彌撒常用的經文。 
Oremus (L.)	請眾同禱；請大家祈禱教會共同祈禱經文開始之慣用語。英文稱作 Let us Pray 。 
Oriental Churches	東方教會指用希臘語或其他近東語言舉行儀式的教會。又稱 Eastern Churches 。與西方教會相對照。西方教會指以拉丁語舉行儀式，梵二後西方教會均已改用本地語言舉行儀式，但名稱依舊。 
Oriental Churches, Sacred Congregation of the	東方禮儀部；東方教會部 1862 年由教宗碧嶽九世所成立，原附屬於傳信部。 1917 年教宗本篤十五世(Benedict XV)使其獨立，主管東方教會的一切事務。梵二後，教宗保祿六世於 1967 年又重新改組，負責處理與羅馬教會合一、而在禮儀上仍保持東方教會傳統的事務。 
Oriental Rites	東方禮天主教內以希臘語、斯拉夫語或其他近東各種語言舉行禮儀之通稱。 
Oriental Studies, Pontifical Institute for	教廷東方研究所 1917 年由教宗本篤十五世(Benedict XV)所創立，研究東方教會的一切事物，附屬于羅馬國瑞大學 Gregorian University 。 
Orientalium Ecclesiarum (L.)	《東方公教會》法令梵二大公會議文獻之一(21.11.1964)。簡稱 OE 。 
original justice	原始純真；原始義德；原來的正義指人類墮落前之純真境界。又稱 righteousness 。 
original sin	原罪原祖犯罪後遺留給世人之不良影響，世人因此失落原始的純真，身受私欲偏情的困擾而傾向於罪惡，本身非罪。「原罪」與後代人所犯之「本罪」有別。前者來自遺傳，身不由己；後者咎由自取，後果自負。 
